課次	類型	中文	提示	英文
Unit21考試	單字	女孩	/gɝl/	girl
Unit21考試	單字	男孩	/bɔɪ/	boy
Unit21考試	單字	嬰兒	/ˈbebɪ/	baby
Unit21考試	單字	朋友	/frɛnd/	friend
Unit21考試	單字	爺爺	/ˈgrænˌfɑðɚ/	grandfather
Unit21考試	單字	奶奶	/ˈgrænˌmʌðɚ/	grandmother
Unit21考試	單字	眼睛	/aɪ/	eye
Unit21考試	單字	耳朵	/ɪr/	ear
Unit21考試	單字	鼻子	/noz/	nose
Unit21考試	單字	嘴巴	/maʊθ/	mouth
Unit21考試	單字	頭	/hɛd/	head
Unit21考試	單字	鳥	/bɝd/	bird
Unit21考試	單字	豬	/pɪg/	pig
Unit21考試	單字	牛	/kaʊ/	cow
Unit21考試	單字	鴨子	/dʌk/	duck
Unit21考試	單字	山羊	/got/	goat
Unit21考試	單字	馬	/hors/	horse
Unit21考試	單字	雞	/ˈtʃɪkɪn/	chicken
Unit21考試	單字	9	/naɪn/	nine
Unit21考試	單字	10	/tɛn/	ten
Unit21考試	單字	11	/ɪˈlɛvən/	eleven
Unit21考試	單字	12	/twɛlv/	twelve
Unit21考試	單字	13	/θɝˈtin/	thirteen
Unit21考試	單字	14	/ˌfɔrˈtin/	fourteen
Unit21考試	單字	15	/ˌfɪfˈtin/	fifteen
Unit21考試	單字	16	/ˌsɪksˈtin/	sixteen
Unit21考試	單字	學校	/skul/	school
Unit21考試	單字	床	/bɛd/	bed
Unit21考試	單字	花	/ˈflaʊɚ/	flower
Unit21考試	單字	樹	/tri/	tree
Unit21考試	單字	洋娃娃	/dɑl/	doll
Unit21考試	單字	機器人	/ˈrobɑt/	robot
Unit21考試	單字	書包	/bæg/	bag
Unit21考試	單字	橡皮擦	/ɪˈresɚ/	eraser
Unit21考試	單字	粉紅色	/pɪŋk/	pink
Unit21考試	單字	紫色	/ˈpɝpl/	purple
Unit21考試	單字	綠色	/grin/	green
Unit21考試	單字	橘色	/ˈɔrɪndʒ/	orange
Unit21考試	單字	溫暖的	/wɔrm/	warm
Unit21考試	單字	熱的	/hɑt/	hot
Unit21考試	單字	涼爽的	/kul/	cool
Unit21考試	單字	冷的	/kold/	cold
Unit21考試	單字	疲倦的	/ˈtaɪrd/	tired
Unit21考試	單字	生病的	/sɪk/	sick
Unit21考試	單字	口渴的	/ˈθɝstɪ/	thirsty
Unit21考試	單字	生氣的	/mæd/	mad
Unit21考試	單字	害羞的	/ʃaɪ/	shy
Unit21考試	單字	想睡的	/ˈslipɪ/	sleepy
Unit21考試	單字	好的	/gʊd/	good
Unit21考試	單字	壞的	/bæd/	bad
Unit21考試	單字	可愛的	/kjut/	cute
Unit21考試	單字	和善的	/kaɪnd/	kind
Unit21考試	單字	漂亮的	/ˈprɪtɪ/	pretty
Unit21考試	單字	聰明的	/smɑrt/	smart
Unit21考試	單字	溜溜球	/ˈjoˌjo/	yo-yo
Unit21考試	單字	黃色的	/ˈjɛlo/	yellow
Unit21考試	單字	窗戶	/ˈwɪndo/	window
Unit21考試	單字	白色的	/waɪt/	white
Unit21考試	單字	在…下面	/ˈʌndɚ/	under
