課次	類型	國字或詞	注音	例句
第一課 看	生字	要	ㄧㄠˋ	我【要】靜靜的看，
第一課 看	生字	靜	ㄐㄧㄥˋ	我要【靜】靜的看，
第一課 看	生字	天	ㄊㄧㄢ	看【天】空，
第一課 看	生字	空	ㄎㄨㄥ	看天【空】，
第一課 看	生字	雲	ㄩㄣˊ	看白【雲】，
第一課 看	生字	水	ㄕㄨㄟˇ	看【水】，
第一課 看	生字	蟲	ㄔㄨㄥˊ	看【蟲】鳥，
第一課 看	生字	鳥	ㄋㄧㄠˇ	看蟲【鳥】，
第一課 看	生字	草	ㄘㄠˇ	看花【草】。
第一課 看	生字	先	ㄒㄧㄢ	我【先】靜靜的看，
第一課 看	生字	完	ㄨㄢˊ	看【完】了再去玩。
第一課 看	生字	再	ㄗㄞˋ	看完了【再】去玩。
第一課 看	生字	去	ㄑㄩˋ	看完了再【去】玩。
第二課 花園裡有什麼	生字	園	ㄩㄢˊ	花【園】裡有什麼呢？
第二課 花園裡有什麼	生字	聽	ㄊㄧㄥ	【聽】一聽，
第二課 花園裡有什麼	生字	沒	ㄇㄟˊ	你有【沒】有聽到，
第二課 花園裡有什麼	生字	正	ㄓㄥˋ	小鳥【正】唱著輕快的歌？
第二課 花園裡有什麼	生字	唱	ㄔㄤˋ	小鳥正【唱】著輕快的歌？
第二課 花園裡有什麼	生字	著	ㄓㄜ˙	小鳥正唱【著】輕快的歌？
第二課 花園裡有什麼	生字	輕	ㄑㄧㄥ	小鳥正唱著【輕】快的歌？
第二課 花園裡有什麼	生字	快	ㄎㄨㄞˋ	小鳥正唱著輕【快】的歌？
第二課 花園裡有什麼	生字	歌	ㄍㄜ	小鳥正唱著輕快的【歌】？
第二課 花園裡有什麼	生字	出	ㄔㄨ	小草長【出】了新芽？
第二課 花園裡有什麼	生字	新	ㄒㄧㄣ	小草長出了【新】芽？
第二課 花園裡有什麼	生字	芽	ㄧㄚˊ	小草長出了新【芽】？
第二課 花園裡有什麼	生字	聞	ㄨㄣˊ	【聞】一聞，
第二課 花園裡有什麼	生字	身	ㄕㄣ	小花【身】上香香的？
第二課 花園裡有什麼	生字	香	ㄒㄧㄤ	小花身上【香】香的？
第二課 花園裡有什麼	生字	呢	ㄋㄜ˙	花園裡有什麼【呢】？
第三課 媽媽的音樂會	生字	媽	ㄇㄚ	【媽】媽的音樂會真好聽！
第三課 媽媽的音樂會	生字	音	ㄧㄣ	一陣【音】樂過後，
第三課 媽媽的音樂會	生字	樂	ㄩㄝˋ	媽媽的音【樂】會真好聽！
第三課 媽媽的音樂會	生字	會	ㄏㄨㄟˋ	媽媽的音樂【會】真好聽！
第三課 媽媽的音樂會	生字	始	ㄕˇ	快樂的音樂會開【始】了。
第三課 媽媽的音樂會	生字	來	ㄌㄞˊ	再【來】是重重的「ㄉㄨ、ㄉㄨ、ㄉㄨ、ㄉㄨ」。
第三課 媽媽的音樂會	生字	重	ㄓㄨㄥˋ	再來是【重】重的「ㄉㄨ、ㄉㄨ、ㄉㄨ、ㄉㄨ」。
第三課 媽媽的音樂會	生字	短	ㄉㄨㄢˇ	一下子是【短】短的「ㄘ ㄘ ㄘ」，
第三課 媽媽的音樂會	生字	陣	ㄓㄣˋ	一【陣】音樂過後，
第三課 媽媽的音樂會	生字	過	ㄍㄨㄛˋ	一陣音樂【過】後，
第三課 媽媽的音樂會	生字	後	ㄏㄡˋ	一陣音樂過【後】，
第三課 媽媽的音樂會	生字	吃	ㄔ	又香又好【吃】的菜就上桌了。
第三課 媽媽的音樂會	生字	菜	ㄘㄞˋ	又香又好吃的【菜】就上桌了。
第三課 媽媽的音樂會	生字	就	ㄐㄧㄡˋ	又香又好吃的菜【就】上桌了。
第三課 媽媽的音樂會	生字	桌	ㄓㄨㄛ	又香又好吃的菜就上【桌】了。
第三課 媽媽的音樂會	生字	真	ㄓㄣ	媽媽的音樂會【真】好聽！
第四課 鞋	生字	鞋	ㄒㄧㄝˊ	把【鞋】脫下。
第四課 鞋	生字	回	ㄏㄨㄟˊ	我【回】家，
第四課 鞋	生字	家	ㄐㄧㄚ	我回【家】，
第四課 鞋	生字	把	ㄅㄚˇ	【把】鞋脫下。
第四課 鞋	生字	脫	ㄊㄨㄛ	把鞋【脫】下。
第四課 鞋	生字	爸	ㄅㄚˋ	【爸】爸、媽媽回家，
第四課 鞋	生字	靠	ㄎㄠˋ	【靠】在一起，
第四課 鞋	生字	見	ㄐㄧㄢˋ	說著一天的【見】聞。
第四課 鞋	生字	像	ㄒㄧㄤˋ	【像】大大小小的船，
第四課 鞋	生字	船	ㄔㄨㄢˊ	像大大小小的【船】，
第四課 鞋	生字	港	ㄍㄤˇ	回到【港】口，
第四課 鞋	生字	口	ㄎㄡˇ	回到港【口】，
第四課 鞋	生字	享	ㄒㄧㄤˇ	【享】受家的溫暖。
第四課 鞋	生字	受	ㄕㄡˋ	享【受】家的溫暖。
第四課 鞋	生字	溫	ㄨㄣ	享受家的【溫】暖。
第四課 鞋	生字	暖	ㄋㄨㄢˇ	享受家的溫【暖】。
