課次	類型	國字或詞	注音	例句
第二課 花園裡有什麼	生字	園	ㄩㄢˊ	花【園】裡有什麼呢？
第二課 花園裡有什麼	生字	聽	ㄊㄧㄥ	【聽】一聽，
第二課 花園裡有什麼	生字	沒	ㄇㄟˊ	你有【沒】有聽到，
第二課 花園裡有什麼	生字	正	ㄓㄥˋ	小鳥【正】唱著輕快的歌？
第二課 花園裡有什麼	生字	唱	ㄔㄤˋ	小鳥正【唱】著輕快的歌？
第二課 花園裡有什麼	生字	著	ㄓㄜ˙	小鳥正唱【著】輕快的歌？
第二課 花園裡有什麼	生字	輕	ㄑㄧㄥ	小鳥正唱著【輕】快的歌？
第二課 花園裡有什麼	生字	快	ㄎㄨㄞˋ	小鳥正唱著輕【快】的歌？
第二課 花園裡有什麼	生字	歌	ㄍㄜ	小鳥正唱著輕快的【歌】？
第二課 花園裡有什麼	生字	出	ㄔㄨ	小草長【出】了新芽？
第二課 花園裡有什麼	生字	新	ㄒㄧㄣ	小草長出了【新】芽？
第二課 花園裡有什麼	生字	芽	ㄧㄚˊ	小草長出了新【芽】？
第二課 花園裡有什麼	生字	聞	ㄨㄣˊ	【聞】一聞，
第二課 花園裡有什麼	生字	身	ㄕㄣ	小花【身】上香香的？
第二課 花園裡有什麼	生字	香	ㄒㄧㄤ	小花身上【香】香的？
第二課 花園裡有什麼	生字	呢	ㄋㄜ˙	花園裡有什麼【呢】？
