課次	類型	國字或詞	注音	例句
第三課 媽媽的音樂會	生字	媽	ㄇㄚ	【媽】媽的音樂會真好聽！
第三課 媽媽的音樂會	生字	音	ㄧㄣ	一陣【音】樂過後，
第三課 媽媽的音樂會	生字	樂	ㄩㄝˋ	媽媽的音【樂】會真好聽！
第三課 媽媽的音樂會	生字	會	ㄏㄨㄟˋ	媽媽的音樂【會】真好聽！
第三課 媽媽的音樂會	生字	始	ㄕˇ	快樂的音樂會開【始】了。
第三課 媽媽的音樂會	生字	來	ㄌㄞˊ	再【來】是重重的「ㄉㄨ、ㄉㄨ、ㄉㄨ、ㄉㄨ」。
第三課 媽媽的音樂會	生字	重	ㄓㄨㄥˋ	再來是【重】重的「ㄉㄨ、ㄉㄨ、ㄉㄨ、ㄉㄨ」。
第三課 媽媽的音樂會	生字	短	ㄉㄨㄢˇ	一下子是【短】短的「ㄘ ㄘ ㄘ」，
第三課 媽媽的音樂會	生字	陣	ㄓㄣˋ	一【陣】音樂過後，
第三課 媽媽的音樂會	生字	過	ㄍㄨㄛˋ	一陣音樂【過】後，
第三課 媽媽的音樂會	生字	後	ㄏㄡˋ	一陣音樂過【後】，
第三課 媽媽的音樂會	生字	吃	ㄔ	又香又好【吃】的菜就上桌了。
第三課 媽媽的音樂會	生字	菜	ㄘㄞˋ	又香又好吃的【菜】就上桌了。
第三課 媽媽的音樂會	生字	就	ㄐㄧㄡˋ	又香又好吃的菜【就】上桌了。
第三課 媽媽的音樂會	生字	桌	ㄓㄨㄛ	又香又好吃的菜就上【桌】了。
第三課 媽媽的音樂會	生字	真	ㄓㄣ	媽媽的音樂會【真】好聽！
