課次	類型	國字或詞	注音	例句
第六課 奶奶的小跟班	生字	奶	ㄋㄞˇ	【奶】奶起床，
第六課 奶奶的小跟班	生字	跟	ㄍㄣ	奶奶的小【跟】班。
第六課 奶奶的小跟班	生字	班	ㄅㄢ	真是奶奶的小跟【班】。
第六課 奶奶的小跟班	生字	床	ㄔㄨㄤˊ	奶奶起【床】，
第六課 奶奶的小跟班	生字	弟	ㄉㄧˋ	【弟】弟也起床。
第六課 奶奶的小跟班	生字	她	ㄊㄚ	陪著【她】一起澆水。
第六課 奶奶的小跟班	生字	酒	ㄐㄧㄡˇ	也跟著玩家家【酒】。
第六課 奶奶的小跟班	生字	拿	ㄋㄚˊ	【拿】出卡片給奶奶，
第六課 奶奶的小跟班	生字	卡	ㄎㄚˇ	拿出【卡】片給奶奶，
第六課 奶奶的小跟班	生字	片	ㄆㄧㄢˋ	收到一張生日卡【片】，
第六課 奶奶的小跟班	生字	給	ㄍㄟˇ	拿出卡片【給】奶奶，
第六課 奶奶的小跟班	生字	寫	ㄒㄧㄝˇ	上頭【寫】著：
第六課 奶奶的小跟班	生字	喜	ㄒㄧˇ	我【喜】歡和您在一起。
第六課 奶奶的小跟班	生字	歡	ㄏㄨㄢ	我喜【歡】和您在一起。
第六課 奶奶的小跟班	生字	您	ㄋㄧㄣ	我喜歡和【您】在一起。
第六課 奶奶的小跟班	生字	都	ㄉㄡ	弟弟天天【都】跟著奶奶，
